Titre,Lien,Date,Contenu
Team Europe s’engage à hauteur de 472 millions d’euros pour soutenir le projet électrique ELMED et son écosystème,https://realites.com.tn/fr/team-europe-sengage-a-hauteur-de-472-millions-deuros-pour-soutenir-le-projet-electrique-elmed-et-son-ecosysteme/,14-06-2024,"⦁ ELMED améliorera la sécurité énergétique et la stabilité économique en Afrique du Nord, marquant une étape importante dans la collaboration internationale sur les initiatives d’énergie renouvelable tout en…"
Maroc-Algérie : le commerce transfrontalier au plus bas depuis 24 ans,https://realites.com.tn/fr/maroc-algerie-le-commerce-transfrontalier-au-plus-bas-depuis-24-ans/,13-06-2024,"Les relations commerciales entre le Maroc et l’Algérie, autrefois dynamiques, sont en berne depuis la rupture unilatérale des relations diplomatiques par Alger en 2021. Les chiffres sont édifiants : en…"
"Pétrole, gaz, énergies renouvelables et logistique : La Tunisie au cœur des enjeux africains",https://realites.com.tn/fr/petrole-gaz-energies-renouvelables-et-logistique-la-tunisie-au-coeur-des-enjeux-africains/,13-06-2024,"Du 25 au 28 juin 2024, Tunis se transforme en carrefour incontournable pour les acteurs clés des secteurs de l’énergie et du transport en Afrique. Le Palais des Expositions du…"
Economie,https://realites.com.tn/fr/category/economie/,13-06-2024,"C’est autour de la création d’un nouveau modèle économique à même de développer l’industrie cinématographique en Tunisie, que le débat a été mené aujourd’hui, jeudi 13 juin, à l’espace Startup…"
Tunisie : le gouvernement met le cap sur l’investissement et le partenariat avec l’UE,https://realites.com.tn/fr/tunisie-le-gouvernement-met-le-cap-sur-linvestissement-et-le-partenariat-avec-lue/,13-06-2024,Le gouvernement affiche une détermination sans faille à stimuler l’investissement et à renforcer son partenariat stratégique avec l’Union européenne (UE). C’est le message fort lancé par la ministre de l’Economie…
Tunisia Investment Forum: la Tunisie déterminée à améliorer son climat des affaires,https://realites.com.tn/fr/tunisia-investment-forum-la-tunisie-determinee-a-ameliorer-son-climat-des-affaires/,13-06-2024,"Le coup d’envoi de la 21e édition du Tunisia Investment Forum a été donné hier jeudi 12 juin 2024 à Tunis, en présence d’un parterre de quelques 1000 invités prestigieux,…"
Pniec 2030 : L’Italie accélère sur l’hydrogène et l’interconnexion électrique avec l’Afrique du Nord,https://realites.com.tn/fr/pniec-2030-litalie-accelere-sur-lhydrogene-et-linterconnexion-electrique-avec-lafrique-du-nord/,12-06-2024,"Le ministre italien de l’Environnement et de la Sécurité énergétique, Gilberto Pichetto, a participé au quatrième atelier des présidents de Medreg (Association Méditerranéenne de l’Energie) à Sélinonte, l’occasion de faire…"
News,https://realites.com.tn/fr/category/news/,12-06-2024,"Fathi Après avoir dénoncé une politique financière mondiale à deux vitesses depuis Saint Pétersbourg, Fathi Zouhair Nouri, gouverneur de la Banque centrale de Tunisie (BCT), s’est entretenu, hier, mardi 11…"
450 millions d’euros de la BEI pour améliorer les infrastructures en Tunisie,https://realites.com.tn/fr/450-millions-deuros-de-la-bei-pour-ameliorer-les-infrastructures-en-tunisie/,11-06-2024,La Banque européenne d’investissement (BEI) s’apprête à injecter 450 millions d’euros (environ 480 millions de dollars) dans des projets stratégiques visant à stimuler la résilience et la croissance du secteur…
Environnement,https://realites.com.tn/fr/category/environnement/,11-06-2024,"L’évènement vaut le détour ! La 7ème édition de la conférence internationale « Financing Investment & Trade in Africa – FITA 2024 », est organisée en Tunisie les 11 et…"
